Mix, Pure, Crude (M or P or C);Freq. (MHz);Eta (cP);T2LM (ms);T (K);TE (ms);;;;;;;;;;;;;;
C;2;17,32;110,90;303,15;0,1;;;;;;;;;;;;;;
C;2;324,0483596;4,462784;367,15;0,24;;;;;;;;;;;;;;
C;2;9,85;164,80;303,15;0,1;;;;;;;;;;;;;;
C;2;142,9491516;7,58655;383,15;0,24;;;;;;;;;;;;;;
C;2;18,19816738;47,36394;445,15;0,24;;;;;;;;;;;;;;
C;2;3584;1,591326884;323,15;0,3;;;;;;;;;;;;;;
C;2;306,4012532;4,651358;368,15;0,24;;;;;;;;;;;;;;
C;2;1169,102796;2,587437;347,15;0,24;;;;;;;;;;;;;;
C;2;168015,7578;0,661277;299,15;0,24;;;;;;;;;;;;;;
C;2;19,07642353;43,325934;443,15;0,24;;;;;;;;;;;;;;
C;2;10752;1,449683107;303,15;0,3;;;;;;;;;;;;;;
C;2;2091,52;3,500231954;323,15;0,3;;;;;;;;;;;;;;
C;2;1,69;781,08;303,15;0,1;;;;;;;;;;;;;;
C;2;51,20;30,90;303,15;0,1;;;;;;;;;;;;;;
C;2;260,0867307;5,196448;371,15;0,24;;;;;;;;;;;;;;
C;2;164,6904849;6,700307;380,15;0,24;;;;;;;;;;;;;;
C;2;130,4364735;7,886379;385,15;0,24;;;;;;;;;;;;;;
C;2;8,91;246,01;303,15;0,1;;;;;;;;;;;;;;
C;2;24326,35449;1,035592;314,15;0,24;;;;;;;;;;;;;;
C;2;1,10;919,50;303,15;0,1;;;;;;;;;;;;;;
C;2;464,38;6,061510168;323,15;0,3;;;;;;;;;;;;;;
C;2;209,02;12,48;303,15;0,1;;;;;;;;;;;;;;
C;2;413,95;7,387950688;323,15;0,3;;;;;;;;;;;;;;
C;2;8,62;130,21;303,15;0,1;;;;;;;;;;;;;;
C;2;34618,24654;0,927015;311,15;0,24;;;;;;;;;;;;;;
C;2;233,944991;5,430094;373,15;0,24;;;;;;;;;;;;;;
C;2;419,83;6,43;303,15;0,1;;;;;;;;;;;;;;
C;2;1576,753718;2,284544;343,15;0,24;;;;;;;;;;;;;;
C;2;12558,84036;1,214368;320,15;0,24;;;;;;;;;;;;;;
C;2;12,07;230,60;303,15;0,1;;;;;;;;;;;;;;
C;2;430,69;6,124284407;323,15;0,3;;;;;;;;;;;;;;
C;2;13,69906442;67,743349;458,15;0,24;;;;;;;;;;;;;;
C;2;489,3932344;3,704761;360,15;0,24;;;;;;;;;;;;;;
C;2;384,9617493;4,117001;364,15;0,24;;;;;;;;;;;;;;
C;2;10,52;99,82;303,15;0,1;;;;;;;;;;;;;;
C;2;4104,53;1,429717511;323,15;0,3;;;;;;;;;;;;;;
C;2;79,78;11,18;303,15;0,1;;;;;;;;;;;;;;
C;2;11309,85898;1,249955;321,15;0,24;;;;;;;;;;;;;;
C;2;54,20516945;15,812537;407,15;0,24;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
